Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-03-17 18:09:59.671 +0530,"Success",0:00:00,0,0,0,"20250317_180959.671/LogFile.txt","","",1
2025-03-17 18:24:38.747 +0530,"Failure",0:00:01,1,0,0,"20250317_182438.747/LogFile.txt","","STDatabaseConnectionError -- Failed to connect to ODBC database odbc:1 Reason: [Oracle][ODBC][Ora]ORA-01017: invalid username/password; logon denied\n, SQLSTATE=28000",0
2025-03-17 18:25:16.436 +0530,"Failure",0:00:01,1,0,0,"20250317_182516.436/LogFile.txt","","STDatabaseConnectionError -- Failed to connect to ODBC database odbc:2 Reason: [Oracle][ODBC][Ora]ORA-01017: invalid username/password; logon denied\n, SQLSTATE=28000",0
2025-03-17 18:29:09.754 +0530,"Failure",0:00:01,1,0,0,"20250317_182909.754/LogFile.txt","","STDatabaseConnectionError -- Failed to connect to ODBC database odbc:3 Reason: [Oracle][ODBC][Ora]ORA-01017: invalid username/password; logon denied\n, SQLSTATE=28000",0
2025-03-17 18:29:39.309 +0530,"Failure",0:00:01,1,0,0,"20250317_182939.309/LogFile.txt","","STDatabaseConnectionError -- Failed to connect to ODBC database odbc:4 Reason: [Oracle][ODBC][Ora]ORA-01017: invalid username/password; logon denied\n, SQLSTATE=28000",0
2025-03-17 18:29:58.972 +0530,"Failure",0:00:01,1,0,0,"20250317_182958.972/LogFile.txt","","STDatabaseConnectionError -- Failed to connect to ODBC database odbc:5 Reason: [Oracle][ODBC][Ora]ORA-01017: invalid username/password; logon denied\n, SQLSTATE=28000",0
2025-03-17 18:33:12.095 +0530,"Failure",0:00:01,1,0,0,"20250317_183312.095/LogFile.txt","","STDatabaseConnectionError -- Failed to connect to ODBC database odbc:6 Reason: [Oracle][ODBC][Ora]ORA-01017: invalid username/password; logon denied\n, SQLSTATE=28000",0
2025-03-18 09:55:54.407 +0530,"Failure",0:00:01,1,0,0,"20250318_095554.407/LogFile.txt","","STDatabaseConnectionError -- Failed to connect to ODBC database odbc:1 Reason: [Oracle][ODBC][Ora]ORA-01017: invalid username/password; logon denied\n, SQLSTATE=28000",0
2025-03-18 10:00:59.853 +0530,"Failure",0:00:01,1,0,0,"20250318_100059.853/LogFile.txt","","STDatabaseConnectionError -- Failed to connect to ODBC database odbc:2 Reason: [Oracle][ODBC][Ora]ORA-01017: invalid username/password; logon denied\n, SQLSTATE=28000",0
2025-03-18 10:01:57.699 +0530,"Failure",0:00:00,1,0,0,"20250318_100157.699/LogFile.txt","","STDatabaseConnectionError -- Failed to connect to ODBC database odbc:3 Reason: [Oracle][ODBC][Ora]ORA-28009: connection as SYS should be as SYSDBA or SYSOPER\n, SQLSTATE=HY000",0
2025-03-18 10:02:11.588 +0530,"Failure",0:00:00,1,0,0,"20250318_100211.588/LogFile.txt","","ST_ODBC_ResultError -- [Oracle][ODBC][Ora]ORA-00942: table or view does not exist\n, SQLSTATE=42S02",0
2025-03-18 10:06:15.659 +0530,"Failure",0:00:00,1,0,0,"20250318_100615.659/LogFile.txt","","ST_ODBC_ResultError -- [Oracle][ODBC][Ora]ORA-00942: table or view does not exist\n, SQLSTATE=42S02",0
2025-03-18 10:41:24.022 +0530,"Failure",0:00:00,1,0,0,"20250318_104124.022/LogFile.txt","","ST_ODBC_ResultError -- [Oracle][ODBC][Ora]ORA-00942: table or view does not exist\n, SQLSTATE=42S02",0
2025-03-18 10:41:33.652 +0530,"Failure",0:00:00,1,0,0,"20250318_104133.652/LogFile.txt","","ST_ODBC_ResultError -- [Oracle][ODBC][Ora]ORA-00942: table or view does not exist\n, SQLSTATE=42S02",0
2025-03-18 11:10:35.589 +0530,"Failure",0:00:00,1,0,0,"20250318_111035.589/LogFile.txt","","ST_ODBC_ResultError -- [Oracle][ODBC][Ora]ORA-00942: table or view does not exist\n, SQLSTATE=42S02",0
2025-03-18 11:10:48.201 +0530,"Success",0:00:00,0,0,0,"20250318_111048.201/LogFile.txt","","",1
2025-03-18 11:11:04.563 +0530,"Failure",0:00:00,1,0,0,"20250318_111104.563/LogFile.txt","","ST_ODBC_ResultError -- [Oracle][ODBC][Ora]ORA-00942: table or view does not exist\n, SQLSTATE=42S02",0
2025-03-18 11:11:41.242 +0530,"Failure",0:00:00,1,0,0,"20250318_111141.242/LogFile.txt","","ST_ODBC_ResultError -- [Oracle][ODBC][Ora]ORA-00942: table or view does not exist\n, SQLSTATE=42S02",0
2025-03-18 11:18:31.579 +0530,"Failure",0:00:00,1,0,0,"20250318_111831.579/LogFile.txt","","ST_ODBC_ResultError -- [Oracle][ODBC][Ora]ORA-00942: table or view does not exist\n, SQLSTATE=42S02",0
2025-03-18 11:23:00.668 +0530,"Failure",0:00:00,1,0,0,"20250318_112300.668/LogFile.txt","","ST_ODBC_ResultError -- [Oracle][ODBC][Ora]ORA-00942: table or view does not exist\n, SQLSTATE=42S02",0
2025-03-18 11:23:11.430 +0530,"Failure",0:00:00,1,0,0,"20250318_112311.430/LogFile.txt","","ST_ODBC_ResultError -- [Oracle][ODBC][Ora]ORA-00942: table or view does not exist\n, SQLSTATE=42S02",0
2025-03-18 11:40:02.664 +0530,"Failure",0:00:00,1,0,0,"20250318_114002.664/LogFile.txt","","ST_ODBC_ResultError -- [Oracle][ODBC][Ora]ORA-00942: table or view does not exist\n, SQLSTATE=42S02",0
2025-03-18 11:40:34.488 +0530,"Failure",0:00:00,1,0,0,"20250318_114034.488/LogFile.txt","","STTableError -- Value can't become a database table: ",0
2025-03-18 11:40:58.131 +0530,"Failure",0:00:00,1,0,0,"20250318_114058.131/LogFile.txt","","ST_ODBC_ResultError -- [Oracle][ODBC][Ora]ORA-00942: table or view does not exist\n, SQLSTATE=42S02",0
2025-03-18 18:22:18.228 +0530,"Failure",0:00:00,1,0,0,"20250318_182218.228/LogFile.txt","","ST_ODBC_ResultError -- [Oracle][ODBC][Ora]ORA-00942: table or view does not exist\n, SQLSTATE=42S02",0
