Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
ReadingRecord,Success,3,0,2025-03-14 16:26:55 +0530,2025-03-17 15:15:57 +0530,0:00:01
ExecuteSQLStatements,Success,2,0,2025-03-17 10:07:18 +0530,2025-03-17 10:09:50 +0530,0:00:00
RecordIterator,Failure,6,3,2025-03-17 13:31:03 +0530,2025-03-17 13:39:00 +0530,0:00:00
ZZZZZZZZZZ,Failure,8,4,2025-03-17 15:38:56 +0530,2025-03-17 15:43:14 +0530,0:00:01
UpdatingRecord,Failure,5,5,2025-03-17 14:22:12 +0530,2025-03-17 15:15:40 +0530,0:00:00
AddingRecord,Success,12,4,2025-03-14 16:09:14 +0530,2025-03-17 14:09:12 +0530,0:00:01
Connection,Success,1,0,2025-03-14 15:44:56 +0530,2025-03-14 15:44:56 +0530,0:00:00
RecordVSrecords,Success,1,0,2025-03-17 12:23:42 +0530,2025-03-17 12:23:42 +0530,0:00:00
Oracle_connection,Failure,25,23,2025-03-17 18:09:59 +0530,2025-03-18 18:22:18 +0530,0:00:00
DeleteRecord,Success,17,3,2025-03-14 16:49:15 +0530,2025-03-17 14:10:56 +0530,0:00:00
