Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-02-25 16:06:29.795 +0530,"Success",0:00:00,0,0,0,"20250225_160629.795/LogFile.txt","","",1
2025-02-25 16:38:20.064 +0530,"Success",0:00:03,0,0,0,"20250225_163820.064/LogFile.txt","","",1
2025-02-25 16:55:55.791 +0530,"Success",0:00:10,0,0,0,"20250225_165555.791/LogFile.txt","","",1
2025-02-25 16:58:50.290 +0530,"Aborted",0:00:17,1,0,1,"20250225_165850.290/LogFile.txt","","",0
2025-02-25 16:59:14.880 +0530,"Success",0:00:07,0,0,0,"20250225_165914.880/LogFile.txt","","",1
2025-02-25 16:59:49.872 +0530,"Success",0:00:07,0,0,0,"20250225_165949.872/LogFile.txt","","",1
2025-02-25 17:00:23.397 +0530,"Success",0:00:07,0,0,0,"20250225_170023.397/LogFile.txt","","",1
2025-02-25 17:01:18.912 +0530,"Failure",0:00:20,1,0,1,"20250225_170118.912/LogFile.txt","","File Not Found -- readtext Error - Could Not Open Image: SearchRectangle",0
2025-02-25 17:02:08.227 +0530,"Failure",0:00:07,1,0,0,"20250225_170208.227/LogFile.txt","","STInvalidParameters -- Function readtext should be called with between 1 and 5 parameters",0
2025-02-25 17:03:46.296 +0530,"Success",0:00:07,0,0,0,"20250225_170346.296/LogFile.txt","","",1
2025-02-25 17:09:12.387 +0530,"Success",0:00:07,0,0,0,"20250225_170912.387/LogFile.txt","","",1
2025-02-25 17:10:25.222 +0530,"Success",0:00:07,0,0,0,"20250225_171025.222/LogFile.txt","","",1
2025-02-25 17:11:23.268 +0530,"Failure",0:00:07,1,0,0,"20250225_171123.268/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'replacepattern'",0
2025-02-25 17:42:20.279 +0530,"Success",0:00:07,0,0,0,"20250225_174220.279/LogFile.txt","","",1
2025-02-25 17:44:55.711 +0530,"Success",0:00:07,0,0,0,"20250225_174455.711/LogFile.txt","","",1
2025-02-25 18:01:19.774 +0530,"Success",0:00:10,0,0,0,"20250225_180119.774/LogFile.txt","","",1
2025-02-25 18:23:22.613 +0530,"Success",0:00:10,0,0,0,"20250225_182322.613/LogFile.txt","","",1
2025-02-25 18:23:45.553 +0530,"Success",0:00:10,0,0,0,"20250225_182345.553/LogFile.txt","","",1
