Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-03-11 17:04:45.278 +0530,"Success",0:00:00,0,0,0,"20250311_170445.278/LogFile.txt","","",1
2025-03-11 17:05:07.008 +0530,"Success",0:00:00,0,0,0,"20250311_170507.008/LogFile.txt","","",1
2025-03-11 17:09:14.060 +0530,"Success",0:00:00,0,0,0,"20250311_170914.060/LogFile.txt","","",1
2025-03-11 17:09:42.343 +0530,"Success",0:00:00,0,0,0,"20250311_170942.343/LogFile.txt","","",1
2025-03-11 17:11:41.469 +0530,"Success",0:00:03,0,0,0,"20250311_171141.469/LogFile.txt","","",1
2025-03-11 17:15:14.309 +0530,"Failure",0:00:01,1,0,0,"20250311_171514.309/LogFile.txt","","STUnknownMessage -- ERROR: 'readtext' was called as a Command, but is only available as a Function",0
2025-03-11 17:15:33.825 +0530,"Success",0:00:02,0,0,0,"20250311_171533.825/LogFile.txt","","",1
2025-03-11 17:23:08.401 +0530,"Failure",0:00:00,1,0,0,"20250311_172308.401/LogFile.txt","","Invalid Property -- Cannot set global property 'PATTERN'",0
2025-03-11 17:23:36.803 +0530,"Success",0:00:00,0,0,0,"20250311_172336.803/LogFile.txt","","",1
2025-03-11 17:25:35.241 +0530,"Success",0:00:00,0,0,0,"20250311_172535.241/LogFile.txt","","",1
2025-03-11 17:26:24.591 +0530,"Success",0:00:00,0,0,0,"20250311_172624.591/LogFile.txt","","",1
