Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-02-21 12:37:14.717 +0530,"Success",0:00:00,0,0,0,"20250221_123714.717/LogFile.txt","","",1
2025-02-21 12:38:29.748 +0530,"Success",0:00:00,0,0,0,"20250221_123829.748/LogFile.txt","","",1
2025-02-21 13:58:01.855 +0530,"Failure",0:00:00,1,0,0,"20250221_135801.855/LogFile.txt","","STInvalidParameter -- The NodePath() function must be called with a tree node",0
2025-02-21 13:58:22.393 +0530,"Success",0:00:00,0,0,0,"20250221_135822.393/LogFile.txt","","",1
2025-02-21 14:15:27.407 +0530,"Success",0:00:00,0,0,0,"20250221_141527.407/LogFile.txt","","",1
2025-02-21 14:15:37.971 +0530,"Success",0:00:00,0,0,0,"20250221_141537.971/LogFile.txt","","",1
2025-02-21 14:24:26.465 +0530,"Success",0:00:00,0,0,0,"20250221_142426.465/LogFile.txt","","",1
2025-02-21 14:26:49.115 +0530,"Failure",0:00:00,1,0,0,"20250221_142649.115/LogFile.txt","","STInvalidTreeOperation -- A tree node of type Text can't have any children",0
2025-02-21 14:40:24.608 +0530,"Failure",0:00:00,1,0,0,"20250221_144024.608/LogFile.txt","","STInvalidTreeOperation -- A tree node of type Text can't have any children",0
2025-02-21 14:55:11.357 +0530,"Success",0:00:00,0,0,0,"20250221_145511.357/LogFile.txt","","",1
2025-02-23 14:53:26.061 +0530,"Success",0:00:00,0,0,0,"20250223_145326.061/LogFile.txt","","",1
2025-02-24 14:06:56.566 +0530,"Success",0:00:00,0,0,0,"20250224_140656.566/LogFile.txt","","",1
